% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
3.201	1	2	1	1.76517e+06	0
3.202	1	1	2	1.76517e+06	0
3.241	1	2	1	1.76517e+06	0
3.242	1	1	2	1.76517e+06	0
3.281	1	2	1	1.76517e+06	0
3.282	1	1	2	1.76517e+06	0
3.321	1	2	1	1.76517e+06	0
3.322	1	1	2	1.76517e+06	0
3.361	1	2	1	1.76517e+06	0
3.362	1	1	2	1.76517e+06	0
3.401	1	2	1	1.76517e+06	0
3.402	1	1	2	1.76517e+06	0
3.441	1	2	1	1.76517e+06	0
3.442	1	1	2	1.76517e+06	0
3.481	1	2	1	1.76517e+06	0
3.482	1	1	2	1.76517e+06	0
3.521	1	2	1	1.76517e+06	0
3.522	1	1	2	1.76517e+06	0
3.561	1	2	1	1.76517e+06	0
3.562	1	1	2	1.76517e+06	0
3.601	1	2	1	1.76517e+06	0
3.602	1	1	2	1.76517e+06	0
3.641	1	2	1	1.76517e+06	0
3.642	1	1	2	1.76517e+06	0
3.681	1	2	1	1.76517e+06	0
3.682	1	1	2	1.76517e+06	0
3.721	1	2	1	1.76517e+06	0
3.722	1	1	2	1.76517e+06	0
3.761	1	2	1	1.76517e+06	0
3.762	1	1	2	1.76517e+06	0
3.801	1	2	1	1.76517e+06	0
3.802	1	1	2	1.76517e+06	0
3.841	1	2	1	1.76517e+06	0
3.842	1	1	2	1.76517e+06	0
3.881	1	2	1	1.76517e+06	0
3.882	1	1	2	1.76517e+06	0
3.921	1	2	1	1.76517e+06	0
3.922	1	1	2	1.76517e+06	0
3.961	1	2	1	1.76517e+06	0
3.962	1	1	2	1.76517e+06	0
4.001	1	2	1	1.76517e+06	0
4.002	1	1	2	1.76517e+06	0
4.041	1	2	1	1.76517e+06	0
4.042	1	1	2	1.76517e+06	0
4.081	1	2	1	1.76517e+06	0
4.082	1	1	2	1.76517e+06	0
4.121	1	2	1	1.76517e+06	0
4.122	1	1	2	1.76517e+06	0
4.161	1	2	1	1.76517e+06	0
4.162	1	1	2	1.76517e+06	0
4.201	1	2	1	1.76517e+06	0
4.202	1	1	2	1.76517e+06	0
4.241	1	2	1	1.76517e+06	0
4.242	1	1	2	1.76517e+06	0
4.281	1	2	1	1.76517e+06	0
4.282	1	1	2	1.76517e+06	0
4.321	1	2	1	1.76517e+06	0
4.322	1	1	2	1.76517e+06	0
4.361	1	2	1	1.76517e+06	0
4.362	1	1	2	1.76517e+06	0
4.401	1	2	1	1.76517e+06	0
4.402	1	1	2	1.76517e+06	0
4.441	1	2	1	1.76517e+06	0
4.442	1	1	2	1.76517e+06	0
4.481	1	2	1	1.76517e+06	0
4.482	1	1	2	1.76517e+06	0
4.521	1	2	1	1.76517e+06	0
4.522	1	1	2	1.76517e+06	0
4.561	1	2	1	1.76517e+06	0
4.562	1	1	2	1.76517e+06	0
4.601	1	2	1	1.76517e+06	0
4.602	1	1	2	1.76517e+06	0
4.641	1	2	1	1.76517e+06	0
4.642	1	1	2	1.76517e+06	0
4.681	1	2	1	1.76517e+06	0
4.682	1	1	2	1.76517e+06	0
4.721	1	2	1	1.76517e+06	0
4.722	1	1	2	1.76517e+06	0
4.761	1	2	1	1.76517e+06	0
4.762	1	1	2	1.76517e+06	0
4.801	1	2	1	1.76517e+06	0
4.802	1	1	2	1.76517e+06	0
4.841	1	2	1	1.76517e+06	0
4.842	1	1	2	1.76517e+06	0
4.881	1	2	1	1.76517e+06	0
4.882	1	1	2	1.76517e+06	0
4.921	1	2	1	1.76517e+06	0
4.922	1	1	2	1.76517e+06	0
4.961	1	2	1	1.76517e+06	0
4.962	1	1	2	1.76517e+06	0
5.001	1	2	1	1.76517e+06	0
5.002	1	1	2	1.76517e+06	0
5.041	1	2	1	1.76517e+06	0
5.042	1	1	2	1.76517e+06	0
5.081	1	2	1	1.76517e+06	0
5.082	1	1	2	1.76517e+06	0
5.121	1	2	1	1.76517e+06	0
5.122	1	1	2	1.76517e+06	0
5.161	1	2	1	1.76517e+06	0
5.162	1	1	2	1.76517e+06	0
5.201	1	2	1	1.76517e+06	0
5.202	1	1	2	1.76517e+06	0
5.241	1	2	1	1.76517e+06	0
5.242	1	1	2	1.76517e+06	0
5.281	1	2	1	1.76517e+06	0
5.282	1	1	2	1.76517e+06	0
5.321	1	2	1	1.76517e+06	0
5.322	1	1	2	1.76517e+06	0
5.361	1	2	1	1.76517e+06	0
5.362	1	1	2	1.76517e+06	0
5.401	1	2	1	1.76517e+06	0
5.402	1	1	2	1.76517e+06	0
5.441	1	2	1	1.76517e+06	0
5.442	1	1	2	1.76517e+06	0
5.481	1	2	1	1.76517e+06	0
5.482	1	1	2	1.76517e+06	0
5.521	1	2	1	1.76517e+06	0
5.522	1	1	2	1.76517e+06	0
5.561	1	2	1	1.76517e+06	0
5.562	1	1	2	1.76517e+06	0
5.601	1	2	1	1.76517e+06	0
5.602	1	1	2	1.76517e+06	0
5.641	1	2	1	1.76517e+06	0
5.642	1	1	2	1.76517e+06	0
5.681	1	2	1	1.76517e+06	0
5.682	1	1	2	1.76517e+06	0
5.721	1	2	1	1.76517e+06	0
5.722	1	1	2	1.76517e+06	0
5.761	1	2	1	1.76517e+06	0
5.762	1	1	2	1.76517e+06	0
5.801	1	2	1	1.76517e+06	0
5.802	1	1	2	1.76517e+06	0
5.841	1	2	1	1.76517e+06	0
5.842	1	1	2	1.76517e+06	0
5.881	1	2	1	1.76517e+06	0
5.882	1	1	2	1.76517e+06	0
5.921	1	2	1	1.76517e+06	0
5.922	1	1	2	1.76517e+06	0
5.961	1	2	1	1.76517e+06	0
5.962	1	1	2	1.76517e+06	0
6.001	1	2	1	1.76517e+06	0
6.002	1	1	2	1.76517e+06	0
6.041	1	2	1	1.76517e+06	0
6.042	1	1	2	1.76517e+06	0
6.081	1	2	1	1.76517e+06	0
6.082	1	1	2	1.76517e+06	0
6.121	1	2	1	1.76517e+06	0
6.122	1	1	2	1.76517e+06	0
6.161	1	2	1	1.76517e+06	0
6.162	1	1	2	1.76517e+06	0
6.201	1	2	1	1.76517e+06	0
6.202	1	1	2	1.76517e+06	0
6.241	1	2	1	1.76517e+06	0
6.242	1	1	2	1.76517e+06	0
6.281	1	2	1	1.76517e+06	0
6.282	1	1	2	1.76517e+06	0
6.321	1	2	1	1.76517e+06	0
6.322	1	1	2	1.76517e+06	0
6.361	1	2	1	1.76517e+06	0
6.362	1	1	2	1.76517e+06	0
6.401	1	2	1	1.76517e+06	0
6.402	1	1	2	1.76517e+06	0
6.441	1	2	1	1.76517e+06	0
6.442	1	1	2	1.76517e+06	0
6.481	1	2	1	1.76517e+06	0
6.482	1	1	2	1.76517e+06	0
6.521	1	2	1	1.76517e+06	0
6.522	1	1	2	1.76517e+06	0
6.561	1	2	1	1.76517e+06	0
